url,title
,
http://projecteuler.net/news,Project Euler Returns
,
http://www.technologyreview.com/news/527051/the-man-who-really-built-bitcoin/,"Gavin Andresen, the Most Powerful Person in the World of Bitcoin"
,
https://code.google.com/p/chromium/issues/detail?id=162757#c64,Blink won’t implement pointer events
,
http://techcrunch.com/2014/08/15/zen99/,"Zen99 (YC S14) Makes Life Easier for Freelancers with Finance, Insurance Tools"
,
http://www.practicalguidetomobileapps.com/,Show HN: Practical Guide to Mobile Apps Using Phonegap and Famo.us
,
http://www.bloomberg.com/news/2014-08-14/san-francisco-office-rents-seen-topping-manhattan-in-2015.html,San Francisco Office Rents Seen Topping Manhattan in 2015
,
http://s3.thinkaurelius.com/docs/titan/0.5.0/,Titan Distributed Graph Database 0.5.0
,
http://www.shellcheck.net/,ShellCheck – Online shell script analyzer
,
http://acko.net/files/pres/siggraph-2014-bof/online.html,MathBox 2
,
http://simonschreibt.de/gat/renderhell/ ,Render Hell 1.0
,
http://kivy.org/,Kivy – Open-source Python library for rapid development of applications
,
http://datatracker.ietf.org/doc/draft-kirsch-ietf-tcp-stealth/,TCP Stealth
,
http://www.math.vanderbilt.edu/~schectex/commerrs/,The most common errors in undergraduate mathematics
,
http://www.newyorker.com/magazine/2012/12/24/utopian-for-beginners,An amateur linguist loses control of the language he invented (2012)
,
http://limscentral.com/,Show HN: I created a Laboratory Customer Relationship Management Tool
,
https://bugs.ruby-lang.org/issues/10137,Incremental GC in Ruby MRI
,
http://martiancraft.com/blog/2014/08/an-unreal-decision/,An Unreal Decision
,
http://www.theatlantic.com/technology/archive/2014/08/why-email-will-never-die/375973/,Email Is Still the Best Thing on the Internet
,
http://sebastien-gabriel.com/designers-guide-to-dpi/,Designers Guide To DPI
,
http://www.slate.com/blogs/bad_astronomy/2014/08/14/portraits_in_uv_thomas_leveritt_video_of_faces_in_ultraviolet.html,The Faces of Ultraviolet
,
http://www.wired.com/2014/08/a-hair-salon-gurus-next-big-thing-ending-the-12b-tyranny-of-shampoo/,A Hair Salon Guru’s Next Big Thing: Ending Shampoo
,
http://techcrunch.com/2014/08/14/y-combinator-and-mithril-invest-in-helion-a-nuclear-fusion-startup/,"Y Combinator And Mithril Invest In Helion, A Nuclear Fusion Startup"
,
http://www.bbc.com/news/business-28756059,The 30-year-old health sector billionaire
,
http://www.theatlantic.com/features/archive/2014/08/the-future-of-college/375071/,The Future of College?
,
http://www.theatlantic.com/technology/archive/2014/08/advertising-is-the-internets-original-sin/376041/,It's not too late to ditch the ad-based business model and build a better web
,
https://github.com/siddontang/mixer,Mixer – A MySQL Proxy powered by Go
,
http://bonsaiden.github.io/Tuff.gb/,Show HN: I'm building a game for the Nintendo GameBoy
,
https://itunes.apple.com/us/app/biodigital-human-anatomy-health/id771825569,BioDigital: A 3D Medical Anatomy App
,
https://careers.stackoverflow.com/jobs/65030/full-stack-junior-developer-unbabel,Unbabel (YC W14) is looking for a junior developer in Portugal
,
http://henrysmith.org/blog/2014/08/04/not-planning-any-nuclear-attacks/,I am not planning any nuclear attacks
news?p=2,More
